id,name,height,date_of_birth,known_for_movies
nm0000002,Lauren Bacall,174,16-09-1924,
nm0000110,Kenneth Branagh,177,10-12-1960,tt3402236
nm0000009,Richard Burton,175,10-11-1925,
nm0000114,Steve Buscemi,175,13-12-1957,tt4686844
nm0000014,Olivia de Havilland,163,01-07-1916,
nm0000130,Jamie Lee Curtis,170,22-11-1958,tt1502407
nm0000017,Marlene Dietrich,164,27-12-1901,
nm0000198,Gary Oldman,174,21-03-1958,tt4555426
nm0000029,Margaux Hemingway,183,16-02-1954,
nm0000234,Charlize Theron,177,07-08-1975,tt5610554
nm0000032,Charlton Heston,191,04-10-1923,
nm0000243,Denzel Washington,185,28-12-1954,tt2671706
nm0000033,Alfred Hitchcock,170,13-08-1899,
nm0000288,Christian Bale,183,30-01-1974,tt6266538
nm0000040,Stanley Kubrick,169,26-07-1928,
nm0000291,Angela Bassett,163,16-08-1958,tt1825683
nm0000041,Akira Kurosawa,182,23-03-1910,
nm0000353,Willem Dafoe,175,22-07-1955,tt5649144
nm0000042,Alan Ladd,168,03-09-1913,
nm0000368,Laura Dern,178,10-02-1967,tt4015500
nm0000057,David Niven,180,01-03-1910,
nm0000369,Matt Dillon,183,18-02-1964,tt4003440
nm0000061,Tyrone Power,180,05-05-1914,
nm0000383,Jennifer Ehle,170,29-12-1969,tt2392830
nm0000063,Anthony Quinn,188,21-04-1915,
nm0000385,Sam Elliott,188,09-08-1944,"tt1517451,tt5655222"
nm0000080,Orson Welles,183,06-05-1915,
nm0000389,Emilio Estevez,169,12-05-1962,tt3294746
nm0000086,Louis de Funès,164,31-07-1914,
nm0000391,Rupert Everett,193,29-05-1959,tt2404639
nm0000092,John Cleese,196,27-10-1939,
nm0000402,Carrie Fisher,155,21-10-1956,tt2527336
nm0000093,Brad Pitt,180,18-12-1963,
nm0000434,Mark Hamill,175,25-09-1951,tt2527336
nm0000096,Gillian Anderson,160,09-08-1968,
nm0000456,Holly Hunter,157,20-03-1958,tt5462602
nm0000099,Patricia Arquette,157,08-04-1968,
